CODGEO,LibCommune,Region,Departement,Population2012,Population2007,Superficie,Naissances2007-2012,Deces2007-2012,Menages2012,NaissancesDomiciliees2013,DecesDomicilies2013,Logements2012,Residences2012,ResidencesSecondaires2012, LogementsVacants2012,ResidencesPrincipalesPropriétaires2012,NombreMenagesFiscaux2012,PartMenagesFiscauxImposes2012,MedianeRevenuDispoUC2012,TauxPauvrete2012,EmploisLT2012,Emplois SalariesLT2012,EmploisLT2007,Pop15-64ans2012,Chomeurs15-64ans2012,Actifs15-64ans2012,TotalEtsActifsFin2012,EtsActifsAgricultureFin2012,EtsActifsIndustrieFin2012,EtsActifs ConstructionFin2012,EtsActifsCommerceServicesFin2012,EtsActifsReparationAutoFin2012,EtsActifsAdmPubliqueFin2012,EtsActifs1-9SalariésFin2012,EtsActifs10ouPlusFin2012,Latitude,Longitude,Metropole
33103,Castelmoron-d'Albret,72,33,53.0,56.0,0.04,6.0,3.0,27.5192307692,0.0,0.0,47.8366910867,27.5192307692,9.14285714286,11.1746031746,14.2692307692,,,,,5.09452889987,1.00558659218,6.11886969318,28.5384615385,5.09615384615,20.3846153846,7.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,44.6794782931, -0.0114847499916,
33116,Cazats,72,33,315.0,314.0,7.48,15.0,9.0,127.5,5.0,1.0,158.081560284,127.5,5.4609929078,25.1205673759,98.5714285714,144.0,,19723.6,,57.6988094472,47.1200603718,65.2924091386,204.642857143,13.9285714286,146.785714286,38.0,15.0,0.0,5.0,15.0,2.0,3.0,4.0,1.0,44.473019034, -0.203200932598,
33129,Cleyrac,72,33,154.0,141.0,6.07,7.0,3.0,64.3291139241,1.0,1.0,73.2137293087,64.3291139241,6.91025641026,1.97435897436,52.6329113924,63.0,,17374.6666667,,33.539245069,16.9295852028,32.9963243989,101.367088608,7.79746835443,66.2784810127,33.0,18.0,2.0,0.0,11.0,2.0,2.0,4.0,0.0,44.7187705333, -0.0383372674584,
33130,Coimères,72,33,904.0,724.0,12.91,44.0,28.0,352.390852391,13.0,8.0,377.977808913,352.390852391,5.68599033816,19.9009661836,261.239085239,346.0,,20617.6666667,,117.648367591,95.9500486791,117.512159729,584.498960499,45.106029106,440.723492723,77.0,16.0,3.0,9.0,40.0,9.0,9.0,9.0,2.0,44.5004950775, -0.212633821506,
33143,Cubzac-les-Ponts,72,33,2261.0,1927.0,8.92,122.0,41.0,908.0,41.0,6.0,991.0,908.0,20.0,63.0,661.0,932.0,64.3394199785,19693.5,12.35529,308.756216566,235.718373569,310.276701412,1489.0,132.0,1140.0,127.0,9.0,8.0,39.0,59.0,22.0,12.0,28.0,5.0,44.9696352985, -0.446132776747,
33144,Cudos,72,33,835.0,788.0,34.21,48.0,35.0,333.70393994,5.0,7.0,383.309012404,333.70393994,20.6687801932,28.9362922705,238.069274225,317.0,,17907.5854701,,167.564608949,134.169518438,154.643588384,502.313450121,46.7999427965,371.347372189,78.0,38.0,4.0,2.0,30.0,9.0,4.0,9.0,3.0,44.3779081527, -0.188470066299,
33154,Les Églisottes-et-Chalaures,72,33,2193.0,2105.0,17.16,140.0,73.0,867.729548654,35.0,27.0,1002.0715355,867.729548654,21.5291645588,112.812822288,609.428659753,817.0,45.7107843137,15880.8695652,26.17647,347.092919548,248.086925546,319.051780974,1296.1082665,143.267323156,832.397071687,163.0,17.0,9.0,26.0,97.0,62.0,14.0,14.0,7.0,45.0928940224, -0.0328830508669,
33159,Étauliers,72,33,1499.0,1437.0,12.98,105.0,53.0,693.0,18.0,9.0,850.0,693.0,16.0,141.0,374.0,700.0,,17395.3333333,,363.205094177,285.664063754,335.866562987,957.0,116.0,681.0,136.0,13.0,7.0,21.0,76.0,36.0,19.0,28.0,5.0,45.2209962068, -0.581677744347,
33220,Lamarque,72,33,1235.0,1101.0,8.91,96.0,100.0,463.967279708,20.0,19.0,534.883455216,463.967279708,19.5276425311,51.3885329765,336.376277789,454.0,,18820.0,,231.132429714,177.654100599,173.806345,748.14723853,90.8602589429,598.324471124,83.0,11.0,2.0,14.0,40.0,16.0,16.0,16.0,5.0,45.0938248209, -0.711211655735,
33321,Peujard,72,33,1906.0,1655.0,10.98,93.0,72.0,671.045396723,24.0,10.0,700.732233241,671.045396723,6.18475760793,23.5020789101,522.023347185,712.0,60.7344632768,19437.0833333,7.13573,431.093246616,363.813078626,281.758537733,1190.70923727,90.1271078046,970.874191004,146.0,41.0,10.0,25.0,57.0,16.0,13.0,22.0,10.0,45.0484108625, -0.431387189025,
